"filename", "language", "TypeScript", "JSON", "JavaScript", "HTML", "Markdown", "Vue", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\victor.back\Desktop\dojnaz-coupons\api\clients.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\victor.back\Desktop\dojnaz-coupons\api\dist\index.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 3, 0, 61
"c:\Users\victor.back\Desktop\dojnaz-coupons\api\dist\routes\couponTypes.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 0, 20
"c:\Users\victor.back\Desktop\dojnaz-coupons\api\dist\routes\index.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 1, 0, 11
"c:\Users\victor.back\Desktop\dojnaz-coupons\api\index.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 2, 10, 64
"c:\Users\victor.back\Desktop\dojnaz-coupons\api\package.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\victor.back\Desktop\dojnaz-coupons\api\routes\couponTypes.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\victor.back\Desktop\dojnaz-coupons\api\routes\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\victor.back\Desktop\dojnaz-coupons\api\tsconfig.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 5, 0, 18
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\README.md", "Markdown", 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\public\index.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 1, 1, 19
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\App.vue", "Vue", 0, 0, 0, 0, 0, 94, 0, 0, 1, 2, 97
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\AsideMenu.vue", "Vue", 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 49
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\AsideMenuItem.vue", "Vue", 0, 0, 0, 0, 0, 59, 0, 0, 0, 3, 62
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\AsideMenuList.vue", "Vue", 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\AsideTools.vue", "Vue", 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\CardComponent.vue", "Vue", 0, 0, 0, 0, 0, 40, 0, 0, 0, 2, 42
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\CardToolbar.vue", "Vue", 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\CardWidget.vue", "Vue", 0, 0, 0, 0, 0, 55, 0, 0, 0, 3, 58
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\Charts\LineChart.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\Charts\chart.config.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 4, 57
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\CheckboxPicker.vue", "Vue", 0, 0, 0, 0, 0, 45, 0, 0, 0, 2, 47
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\ClientsTableSample.vue", "Vue", 0, 0, 0, 0, 0, 139, 0, 0, 0, 6, 145
